head,relation,tail
中国美术馆,located in the administrative territorial entity,北京
清华大学,located in the administrative territorial entity,北京
北京大学,located in the administrative territorial entity,北京
宋健,educated at,中国人民大学
生育率,facet of,人口发展
玄武区,located in the administrative territorial entity,南京市
新昌县,located in the administrative territorial entity,绍兴市
经开区,located in the administrative territorial entity,内江市
壕子口街道,located in the administrative territorial entity,内江市
南非,capital,开罗
2010年南非足球世界杯,country,南非
德班大球场,country,南非
德班大球场,located in the administrative territorial entity,德班
开罗,continent,非洲
国际乒联,sport,乒乓球
国际乒联年度代表大会,sport,乒乓球
沧州,located in the administrative territorial entity,河北
沧州市女足元老队,sport,足球
UB Cell,instance of,突破多维玩法
2023中关村论坛,point in time,2023
澳门科技大学,located in the administrative territorial entity,澳门
庞川,educated at,澳门科技大学
董进,employer,国家区块链技术创新中心
习近平新时代中国特色社会主义思想,creator,中共中央
尹力,position held,中共中央政治局委员
尹力,member of,中共中央政治局常委
付营子镇,located in the administrative territorial entity,承德市
湖南省,head of state,习近平总书记
湖南省委,applies to jurisdiction,湖南省
谢尔盖·萨纳科耶夫,country of citizenship,俄罗斯
习近平主席,notable work,共建“一带一路”倡议
共建“一带一路”倡议,participant,习近平主席
澜沧号,country,老挝
昆明,country,老挝
山河,country,老挝
吉尔吉斯斯坦,diplomatic relation,乌兹别克斯坦
塔吉克斯坦,diplomatic relation,土库曼斯坦
土库曼斯坦,diplomatic relation,塔吉克斯坦
土库曼斯坦,diplomatic relation,乌兹别克斯坦
乌兹别克斯坦,diplomatic relation,吉尔吉斯
陈文清,member of,中共中央政治局
俄罗斯,member of,上海合作组织
俄罗斯,member of,金砖国家
俄罗斯,head of state,普京总统
上海合作组织,chairperson,普京总统
金砖国家,chairperson,普京总统
普京总统,country of citizenship,俄罗斯
威莱,position held,老挝副总理
彭清华,position held,全国人大常委会副委员长
埃塞俄比亚,diplomatic relation,刚果(金)
刚果(金),diplomatic relation,埃塞俄比亚
东帝汶,member of,东盟
萨博科塔,member of political party,尼泊尔共产党(毛主义中心)
荷兰,capital,阿姆斯特丹
阿姆斯特丹,country,荷兰
人文哥伦比亚党,chairperson,因卡皮耶
因卡皮耶,member of political party,人文哥伦比亚党
共产党,chairperson,凯塞多
凯塞多,member of political party,共产党
自由党,chairperson,哈拉米略
哈拉米略,member of political party,自由党
激进变革党,chairperson,科尔多瓦
科尔多瓦,member of political party,激进变革党
双湖县,located in the administrative territorial entity,那曲市
安多县,located in the administrative territorial entity,那曲市
尼玛县,located in the administrative territorial entity,那曲市
山南市,located in the administrative territorial entity,那曲市
贡嘎县,located in the administrative territorial entity,山南市
六上双湖县,located in the administrative territorial entity,那曲市
安阳,located in the administrative territorial entity,河南
林县,located in the administrative territorial entity,安阳
舟山市,located in the administrative territorial entity,浙江省
定海区,located in the administrative territorial entity,舟山市
伊犁河谷,located in the administrative territorial entity,新疆
塔城,located in the administrative territorial entity,新疆
腾格里沙漠,located in the administrative territorial entity,甘肃省
武威市,located in the administrative territorial entity,甘肃省
古浪县,located in the administrative territorial entity,武威市
云计算,subclass of,信息技术
张艺开,member of political party,中国共产党
公交专用道,use,交通
即时物流,subclass of,物流
井冈山杜鹃,parent taxon,井冈山杜鹃科
井冈山杜鹃科,named after,井冈山
江西杜鹃,parent taxon,井冈山杜鹃科
鹿角杜鹃,parent taxon,井冈山杜鹃科
云锦杜鹃,parent taxon,井冈山杜鹃科
猴头杜鹃,parent taxon,井冈山杜鹃科
伏毛杜鹃,parent taxon,井冈山杜鹃科
万亩云锦杜鹃林,located in the administrative territorial entity,井冈山
猴头杜鹃长廊,located in the administrative territorial entity,井冈山
映山红,parent taxon,井冈山杜鹃科
江西省老年大学,located in the administrative territorial entity,南昌
纪雅林,spouse,唐露薇
唐露薇,spouse,纪雅林
工业和信息化部,headquarters location,北京
国家能源局,item operated,三峡电站
三峡电站,owned by,国家能源局
柯拉光伏电站,owned by,国家能源局
腊巴山风电,owned by,国家能源局
贵阳市,capital,贵安新区
贵安新区,located in the administrative territorial entity,贵阳市
振华,headquarters location,贵阳市
浪潮,headquarters location,贵阳市
航天电器,headquarters location,贵阳市
建设美丽中国,instance of,千年大计
习近平同志,notable work,习近平新时代中国特色社会主义思想
习近平新时代中国特色社会主义思想,creator,习近平同志
习近平生态文明思想,creator,习近平同志
新时代新征程,creator,习近平同志
生态环境,subclass of,环境
普陀区,located in the administrative territorial entity,上海市
长寿路街道,located in the administrative territorial entity,普陀区
习近平,notable work,中华人民共和国密码法
中华人民共和国密码法,signatory,习近平
罗峰街道,located in the administrative territorial entity,招远市
成都,located in the administrative territorial entity,成都市
成都市,located in the administrative territorial entity,成都
蓉漂杯,located in the administrative territorial entity,成都
景德镇市,located in the administrative territorial entity,江西省
浮梁县,located in the administrative territorial entity,景德镇市
湘湖镇,located in the administrative territorial entity,浮梁县
连云港,located in the administrative territorial entity,江西省
高源,educated at,北京师范大学
围子街道,located in the administrative territorial entity,昌邑市
潍水风情湿地公园,located in the administrative territorial entity,昌邑市
南开区,located in the administrative territorial entity,天津市
南开大学,located in the administrative territorial entity,天津市
天津大学,located in the administrative territorial entity,天津市
中关村国际前沿科技创新大赛,organizer,中关村论坛
平安保险,inception,1988年5月27日
平安保险,headquarters location,深圳
深圳,part of,大湾区
招商局,headquarters location,深圳
